image,name,address_1,address_2,phone_number,website,rating,reviews_count,image_source
,The Ice Cream Company,46 Ashbourne Rd,Stretford,+44 7731 343802,,4.6,9,https://lh5.googleusercontent.com/p/AF1QipNi8l1NPfvUM1nmA_hV3XztnGNooNg9m0YVKJDh
,Mr Whippy ice cream van hire,,,+44 7877 829349,http://mrwhippyicecreamvanhire.com/,5,20,https://lh5.googleusercontent.com/p/AF1QipP5YgCV1gmnfPkqkSA38HfGN1UhpyZqUgPydl-q
,Ice Cream Van Hire - The Official Mr Whippy Ice Cream,,,+44 7967 005734,http://www.mrwhippyicecream.co.uk/,5,8,https://lh5.googleusercontent.com/p/AF1QipPFy7ktFeMmJ_gtNT8EkvFg5SZ9YPV9n6uL9GR6
,Ice Cream For You Classic Ice Cream Truck,,,(603) 391-1628,https://www.icecreamforyou2.com/,4.4,7,https://lh5.googleusercontent.com/p/AF1QipPRtyLcGPnxZq7EieHysQBqajrL3IddCvnCeVss
,Ice Cream Van Hire,131 Garners Ln,Stockport,,http://www.mrwhippyicecream.co.uk/,5,1,https://lh5.googleusercontent.com/p/AF1QipM9Z-eHR8XpeZqCimMhcp-1Bk3P0jOMSl7b5BVa
,BOXCO FOOD TRUCK,Hadfield St,"Old Trafford, Stretford",+44 161 872 7272,https://www.instagram.com/boxcomcr/?hl=en,5,15,https://lh5.googleusercontent.com/p/AF1QipMpjlqcKfajKAhrqKJzvuN12Q116Vkj4oBG4dys
,Gingers Comfort Emporium,Afflecks,Church St,+44 7980 628868,http://www.gingerscomfortemporium.com/,4.5,375,https://lh5.googleusercontent.com/p/AF1QipMcFMxaDxwhZXf_TCM5Qz6NnSA5kGUgXMwDRNwA
,Oasis Ice Cream,109 Manchester Rd,Chorlton-cum-Hardy,+44 161 861 8837,http://www.oasisicecream.com/,4.4,319,https://lh5.googleusercontent.com/p/AF1QipPh4A6S97_aniBWCA2FL1Fexx9zrUpH2569dihR
,Mr Whippy Ice Cream Van Hire,,,+44 7507 786449,https://www.mrwhippyicecreamvan.co.uk/,5,11,https://lh5.googleusercontent.com/p/AF1QipNTVtLRAG-0ZoFnJ7DlgODTQ2ndd7g2mOeYayMd
,Ice Shack,414 Wilmslow Rd,Withington,+44 7534 377885,,4.9,260,
,Mr whippy ice cream van hire manchester,,,+44 7539 463224,https://www.mrwhippyicecreamvan.co.uk/,,,https://lh5.googleusercontent.com/p/AF1QipN7qtiFusWPQ4RWH4tdLdciecStLgHw00l6ryLO
,Kaddys ice cream hire north west,Alexandra Rd,Oldham,+44 7504 790864,,2.5,6,https://lh5.googleusercontent.com/p/AF1QipOT_7uzYwGttRA5XfiqHfNvSvA8uItdAAh2z9rn
,Popstick,119 Wilmslow Rd,Manchester,,,4.6,10,https://lh5.googleusercontent.com/p/AF1QipN1hnxjTFU3krZFfs7Tnkbf9-h41BW82YfjjiI5
,Daniels Ices,,,+44 7776 435734,http://www.danielsices.co.uk/,4.7,26,https://lh5.googleusercontent.com/p/AF1QipMw7_pYMsYIUgc7v_92zEROUhM4PQuCqvm6hv1W
,Super Soft Whippy,Lake St,Stockport,+44 7739 189720,,,,https://lh5.googleusercontent.com/p/AF1QipP2ewCUpZ9H7cX6sJ5Rd7a4JeYQsfo5wxMV4vaY
,Baskin Robbins,Unit 13,Market St,,http://www.baskinrobbins.co.uk/,3.6,19,https://lh5.googleusercontent.com/p/AF1QipPBJxndDUpKouFQIhnoVrv0SeonkuVToj9Fz7U4
,Mr Whippy Ice Cream Van,,,+44 7305 055932,,5,2,https://lh5.googleusercontent.com/p/AF1QipNY9pzoH0pa8lMOKJqwKwR_Z2QSq7X7xPYymcO1
,ICE CREAM TRUCK NEW HAVEN COUNTY,,,(860) 883-5932,http://www.ice-creamtime.com/,,,https://lh5.googleusercontent.com/p/AF1QipP0ULclkhheF4IOv0Gd9Je-1dX-X57aHXQPDEyt
,Frosty Licks,49 High St,Manchester,,https://www.facebook.com/pages/Frosty-Licks/775312135953065,,,https://lh5.googleusercontent.com/p/AF1QipPraJm_uyJaaM3uvv32iAbkDpfC8SfxqzUtrcMk
,Dog Days of Summer Ice Cream Vending Trucks,,,(603) 666-4444,http://dogdaysofsummer.tripod.com/,,,https://lh5.googleusercontent.com/p/AF1QipOBEijhyb1g2vJ5V7VwCAq9EMoRb7eBYZVIMIfu
,Kona Ice of Manchester,,,(860) 841-7792,http://www.kona-ice.com/find-a-kona/,5,14,https://lh5.googleusercontent.com/p/AF1QipMmKPCY2dQ4_0qsyt_Lshls3LLlLBucffulj92L
,Mr Whippy ice cream van hire,103 Woodgate St,Bolton,+44 7716 503993,,5,2,https://lh5.googleusercontent.com/p/AF1QipNJrJ75aTEYTaEwCQJvv8m4LG6l6Q44IsfyXpQP
,Baristaroo,,,+44 7368 991874,https://www.baristaroo.co.uk/,4.6,9,https://lh5.googleusercontent.com/p/AF1QipO7JwTGkPAWXrnYZFy52wZmoNJLdA__B0-QNDWu
,Granelli's,74 Newton St,Macclesfield,+44 1625 424391,http://www.granellismacclesfield.com/,4.7,476,https://lh5.googleusercontent.com/p/AF1QipNZqOwSbcAsia-rrrBugec1hdpRuinsFXNqbZmf
,Super Whippy Ice Cream Van Hire,41 Lister Ln,Bradford,+44 7547 544730,http://www.super-whippy.co.uk/,4.9,45,https://lh5.googleusercontent.com/p/AF1QipM9zcOfxk7tBe5zBHoovg-t9CO7-ULXLwsGRsPl
,Rossis Ice Cream Preston,,,+44 7793 844815,,5,1,https://lh5.googleusercontent.com/p/AF1QipOU5i5gwjMXNUrMiWFxX_AoePjItQuyb_RT9BWu
,The Food Warehouse by Iceland,"Unit 5, Trafford Retail Park",Neary Way,,https://www.iceland.co.uk/store-finder/store?StoreID=1506&StoreName=TRAFFORD%20FWH,4.5,552,https://lh5.googleusercontent.com/p/AF1QipOm5LkhU86b4bHcZoYi5dwavpL4FLGGCt8c6q6Y
,Cooksmill,2 Comus St,Manchester,+44 161 886 4989,https://www.cooksmill.co.uk/,3.9,133,https://lh5.googleusercontent.com/p/AF1QipO81Hm6OwR6vHuCeKXRtm9FlrKtU3ArgEuYpnht
,Sainsbury's,Heaton Park Rd,Manchester,+44 161 210 5600,https://stores.sainsburys.co.uk/2288/heaton-park?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjgxNjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,4931,https://lh5.googleusercontent.com/p/AF1QipM1hTffhQlhWQLVp1SqgezruEpoKRTqJ_D-MBx5
,Ben & Jerry’s,940 Elm St,"Manchester, NH 03101",(603) 647-9400,https://www.benjerry.com/elmstreet,4.6,492,https://lh5.googleusercontent.com/p/AF1QipNMVeGWZd-v3XZb8_W1ykNWBwnEs-uAYmaDZpRR
,Cremeland Drive In,250 Valley St,"Manchester, NH 03103",(603) 669-4430,https://www.facebook.com/pages/category/Ice-Cream-Shop/Cremeland-Drive-In-120263297990992/,4.3,814,https://lh5.googleusercontent.com/p/AF1QipPA2P1r3wnKiessFmH26nWk6jasoA0mXLfu33zA
,North Star Delicatessen,418 Wilbraham Rd,Manchester,+44 161 862 0133,http://www.northstarchorlton.co.uk/,4.5,679,https://lh5.googleusercontent.com/p/AF1QipNQ-2JNxPHvHpzl5KFH-AxZEP61WaF3OJklXoEI
,Fat Hippo Manchester L7,Lane7,235 Deansgate,+44 161 510 0034,https://fathippo.co.uk/,2.9,30,https://lh5.googleusercontent.com/p/AF1QipMupxdQuNSyEd2w8Pld-F1iU-ldOsdqzYDo_6Gd
,Royd Ices,Cragg Road Works,Cragg Rd,+44 1422 881122,http://www.roydices.co.uk/,2.5,142,https://lh5.googleusercontent.com/p/AF1QipNQqOhuoyqZ0ZWyyvAd6e91A8QurN0oxvRJuFFb
,Tesco Superstore,Thomas St,Crumpsall,+44 345 671 9380,https://www.tesco.com/store-locator/manchester/thomas-street?sc_cmp=ref*yg*stc*5294&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,3.8,587,https://lh5.googleusercontent.com/p/AF1QipP1utvXnjDORrTYYFU83sPilODBpwpGO2i0K_V7
,Costco Manchester,Barton Dock Rd,"Trafford Park, Stretford",+44 161 749 4365,"https://www.costco.co.uk/store-finder?q=Barton+Dock+Road,+Stretford+M41+7PP,+United+Kingdom",4.5,2649,https://lh5.googleusercontent.com/p/AF1QipO3Zs1l-kALhq5NkSFxHZoX9ke18ZRdkwGRmh76
,The Dutch Fishmen,"Unit 7, Trafalgar Business Park",Broughton Ln,+44 7478 447246,https://bit.ly/3JoHduA,4.3,666,https://lh5.googleusercontent.com/p/AF1QipMs-98TOu0MJ4x-Awx2le8VShC9kOUKEy3v9baN
,Sainsbury's,347 Wilmslow Rd,Manchester,+44 161 256 0490,https://stores.sainsburys.co.uk/2014/fallowfield?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjcwNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,2986,https://lh5.googleusercontent.com/p/AF1QipO2j2g8vX5-jDSmkjTQ-kWNXAz3o-0WDYZbp1Pr
